epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.538,1.96479,1.11838,1.04336,0.72546,0.59033,0.63728,0.28943,2.23203,1.48632,1.05838,0.002,0.002,0.002
2,469.635,2.00391,1.17552,1.0441,0.81463,0.55851,0.65211,0.28127,2.28241,1.62043,1.07148,0.001802,0.001802,0.001802
3,684.14,1.91766,1.17315,1.04306,0.79358,0.55216,0.64688,0.2727,2.28227,1.61912,1.07254,0.001604,0.001604,0.001604
4,898.177,1.96302,1.11278,1.04179,0.75593,0.61702,0.70179,0.28647,2.26914,1.38895,1.06438,0.001406,0.001406,0.001406
5,1113.21,1.90118,1.02225,1.03363,0.79537,0.66158,0.7411,0.30685,2.24335,1.28957,1.05267,0.001208,0.001208,0.001208
6,1327.94,1.91075,1.03759,1.02538,0.91054,0.64966,0.7451,0.32957,2.1914,1.39671,1.04284,0.00101,0.00101,0.00101
7,1542.89,1.85507,0.99678,1.01984,0.82397,0.64736,0.72073,0.3164,2.22588,1.36655,1.05079,0.000812,0.000812,0.000812
8,1756.67,1.82384,0.95324,1.01786,0.81883,0.64362,0.7154,0.31585,2.19456,1.39775,1.04451,0.000614,0.000614,0.000614
9,1969.99,1.75746,0.91578,1.01498,0.85634,0.63413,0.73547,0.33966,2.09277,1.42035,1.03482,0.000416,0.000416,0.000416
10,2185.22,1.74779,0.89963,1.0065,0.81313,0.64809,0.72971,0.33244,2.14786,1.42911,1.04398,0.000218,0.000218,0.000218
