epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.666,1.87689,1.00078,1.04216,0.74074,0.59574,0.60689,0.24583,2.27073,1.6065,1.05591,0.003,0.003,0.003
2,424.393,1.95847,1.11283,1.05404,0.70563,0.55319,0.62462,0.27302,2.09431,1.56672,1.04496,0.00292732,0.00292732,0.00292732
3,630.938,1.95875,1.1205,1.04284,0.84004,0.58663,0.67052,0.27167,2.27239,1.5779,1.0638,0.00271639,0.00271639,0.00271639
4,837.5,1.945,1.08813,1.05273,0.85683,0.56383,0.66705,0.28644,2.22365,1.71123,1.05254,0.00238786,0.00238786,0.00238786
5,1043.92,1.97825,1.00064,1.05156,0.8722,0.56915,0.69814,0.29943,2.18034,1.37319,1.05464,0.00197389,0.00197389,0.00197389
6,1250.72,1.884,0.9745,1.04773,0.88322,0.60344,0.70409,0.31335,2.13187,1.41715,1.05092,0.001515,0.001515,0.001515
7,1457.57,1.78839,0.92873,1.0405,0.82536,0.65359,0.73127,0.31918,2.1821,1.4123,1.0581,0.00105611,0.00105611,0.00105611
8,1663.92,1.7453,0.88435,1.03962,0.85192,0.67021,0.74702,0.32841,2.14845,1.38545,1.04205,0.000642139,0.000642139,0.000642139
9,1870.38,1.71562,0.87284,1.01647,0.91625,0.64894,0.7628,0.34179,2.06631,1.33083,1.03862,0.00031361,0.00031361,0.00031361
10,2076.55,1.70761,0.87983,1.02804,0.91286,0.66865,0.76275,0.34875,2.07208,1.31126,1.03845,0.000102681,0.000102681,0.000102681
