epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1154,0.22364,2.21481,0.15762,0.22202,0.88987,0.99828,1,0.995,0.91212,0.99828,1,0.995,0.52187,0.45452,2.13794,0.14493,0.31376,0.72007,0.00026,0.00026,0.00026
2,44.4501,0.21551,2.24079,0.14099,0.20299,0.90269,0.99812,1,0.995,0.91795,0.99812,1,0.995,0.43947,0.42252,2.43683,0.1483,0.26066,0.67184,0.000534654,0.000534654,0.000534654
3,64.2603,0.2386,2.331,0.1496,0.21581,0.89048,0.99823,1,0.995,0.94804,0.99823,1,0.995,0.51587,0.37256,2.33556,0.13567,0.24257,0.64373,0.000803764,0.000803764,0.000803764
4,96.2719,0.24041,2.55452,0.156,0.21351,0.91321,0.99827,1,0.995,0.93279,0.99827,1,0.995,0.5943,0.39008,2.11483,0.13411,0.29505,0.6769,0.00106733,0.00106733,0.00106733
5,118.824,0.24261,2.35705,0.14643,0.21285,0.90682,0.99824,1,0.995,0.93622,0.96497,0.96667,0.97565,0.53593,0.35561,2.39531,0.13904,0.28131,0.64787,0.00132535,0.00132535,0.00132535
6,147.725,0.27171,2.60304,0.15194,0.23889,0.90083,1,1,0.995,0.89506,1,1,0.995,0.55919,0.46988,2.17777,0.14565,0.36268,0.72366,0.00157783,0.00157783,0.00157783
7,169.066,0.26636,2.67045,0.14616,0.23959,0.91614,0.99827,1,0.995,0.94892,0.96496,0.96667,0.95517,0.47836,0.34305,2.50017,0.14665,0.31351,0.63559,0.00182476,0.00182476,0.00182476
8,195.994,0.26156,2.84913,0.14875,0.23672,0.9159,0.99367,1,0.995,0.94094,0.87124,0.86667,0.86828,0.33999,0.39366,3.38251,0.1441,0.29163,0.69421,0.0018614,0.0018614,0.0018614
9,217.775,0.26334,3.06107,0.14949,0.24001,0.9291,0.99819,1,0.995,0.94699,0.9316,0.93333,0.9055,0.41848,0.40636,2.45098,0.14667,0.29027,0.70679,0.0018416,0.0018416,0.0018416
10,248.021,0.28099,2.90403,0.1515,0.24547,0.90835,0.99331,1,0.995,0.91424,0.76143,0.76667,0.68471,0.25582,0.4837,3.4338,0.14555,0.32715,0.71612,0.0018218,0.0018218,0.0018218
11,273.309,0.28026,2.71858,0.14923,0.24644,0.9091,0.99775,1,0.995,0.95166,0.93123,0.93333,0.90888,0.39833,0.37564,2.68586,0.13997,0.3261,0.6931,0.001802,0.001802,0.001802
12,299.132,0.28434,2.51335,0.15812,0.24823,0.9188,0.9982,1,0.995,0.96205,0.93166,0.93333,0.90761,0.42257,0.41326,2.57461,0.14069,0.31987,0.71375,0.0017822,0.0017822,0.0017822
13,325.721,0.27688,2.32108,0.14677,0.25125,0.91273,0.99821,1,0.995,0.93915,0.83259,0.83333,0.873,0.37956,0.42766,3.00498,0.14908,0.30861,0.72919,0.0017624,0.0017624,0.0017624
14,347.573,0.26446,2.57574,0.15113,0.23726,0.90468,0.99822,1,0.995,0.92568,0.93167,0.93333,0.91001,0.36949,0.42021,2.55579,0.13479,0.29064,0.71305,0.0017426,0.0017426,0.0017426
15,373.521,0.2606,2.3857,0.14597,0.2271,0.91151,0.99824,1,0.995,0.90955,0.99824,1,0.995,0.57799,0.46108,2.1109,0.13374,0.31415,0.73598,0.0017228,0.0017228,0.0017228
16,395.208,0.24843,2.50964,0.15272,0.22668,0.90492,0.99793,1,0.995,0.92116,0.96466,0.96667,0.96658,0.44409,0.39607,2.50207,0.13396,0.30935,0.66286,0.001703,0.001703,0.001703
17,421.029,0.27838,2.62822,0.15646,0.26033,0.90434,0.99769,1,0.995,0.93161,0.99769,1,0.995,0.48506,0.41949,2.31001,0.14073,0.31674,0.70595,0.0016832,0.0016832,0.0016832
18,444.166,0.29561,3.13953,0.15899,0.28867,0.9519,0.99772,1,0.995,0.91229,0.9312,0.93333,0.94056,0.43845,0.44749,2.76244,0.14997,0.34489,0.72685,0.0016634,0.0016634,0.0016634
