epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.996,0.85359,0.84381,0.87569,0.87803,0.8734,0.92557,0.59348,0.92654,0.98143,0.8799,0.00149123,0.00149123,0.00149123
2,283.16,0.87684,0.87311,0.88154,0.90146,0.87228,0.93482,0.52319,1.07805,0.99516,0.88305,0.00146366,0.00146366,0.00146366
3,385.448,0.85677,0.85302,0.87623,0.93244,0.90831,0.96165,0.63956,0.87177,0.87823,0.86868,0.0013582,0.0013582,0.0013582
4,478.668,0.83114,0.81417,0.87295,0.94184,0.90314,0.96371,0.62965,0.89285,0.86979,0.87018,0.00119393,0.00119393,0.00119393
5,565.18,0.82942,0.81478,0.87077,0.94332,0.91188,0.9633,0.61707,0.9303,0.90725,0.87163,0.000986945,0.000986945,0.000986945
6,652.498,0.804,0.77753,0.8682,0.96216,0.92174,0.97119,0.66554,0.83506,0.81799,0.8628,0.0007575,0.0007575,0.0007575
7,739.54,0.7805,0.75242,0.86391,0.96004,0.92359,0.96954,0.67777,0.80448,0.79209,0.86032,0.000528055,0.000528055,0.000528055
8,826.65,0.75248,0.72693,0.86015,0.96983,0.92025,0.97145,0.67353,0.80131,0.76992,0.86124,0.000321069,0.000321069,0.000321069
9,912.683,0.73955,0.70845,0.85975,0.95429,0.92359,0.97006,0.67263,0.81081,0.76541,0.86102,0.000156805,0.000156805,0.000156805
10,997.965,0.72815,0.69502,0.85786,0.96254,0.92303,0.97197,0.68531,0.77873,0.74688,0.85822,5.13405e-05,5.13405e-05,5.13405e-05
